Rep-1	R	+++--+-+++
Rep-2	D	+++----+++
Rep-3	R	++++-+++--
Rep-4	D	++++--+++-
Rep-5	R	++++-++++-
Rep-6	D	-++---+++.
Rep-7	D	-++-+-++++
Rep-8	D	+++-+-++++
Rep-9	R	++++-+++-+
Rep-10	R	++++-+++-+
Rep-11	R	++++-+++--
Rep-12	R	++++-+-++-
Rep-13	D	-++++-+++-
Rep-14	D	-+++++-++-
Rep-15	D	+++-+--++-
Rep-16	D	++++--++++
Rep-17	D	++++-+-++-
Rep-18	R	++++-+-+++
Rep-19	R	++++-+-+--
Rep-20	R	+++--++++-
Rep-21	D	-++---+++-
Rep-22	D	-++---+++-
Rep-23	D	-++++-+++-
Rep-24	D	.++++-..+-
Rep-25	R	-+++-+++--
Rep-26	R	+++-++-+--
Rep-27	R	++++-+++-+
Rep-28	R	+++--++++-
Rep-29	D	++++--++++
Rep-30	R	++++-+++--
Rep-31	D	-++-+-+++-
Rep-32	R	++++-+..-+
Rep-33	R	++++-+++-+
Rep-34	D	-+++--++++
Rep-35	R	++++-+++-+
Rep-36	R	+-++-+.+-+
Rep-37	R	--+--+++-+
Rep-38	D	+++++-+++-
Rep-39	D	-++-++-++-
Rep-40	D	++++--+++-
Rep-41	R	++++-+++++
Rep-42	R	++++-+-+-+
Rep-43	D	+++++-+++-
Rep-44	D	++++-+++++
Rep-45	R	++++-++++-
Rep-46	R	++++-++++-
Rep-47	R	++++-+-+-+
Rep-48	D	-++-+-+++-
Rep-49	D	-++++-+++-
Rep-50	D	-++++-+++-
Rep-51	R	++++-+-+--
Rep-52	R	++++-+++-+
Rep-53	D	+++---++++
Rep-54	D	+++++-+++-
Rep-55	D	-++---+++-
Rep-56	R	+++--+-+++
Rep-57	R	++++-+++--
Rep-58	D	+++++--+++
Rep-59	R	+++--+-+--
Rep-60	D	.++++-+++-
Rep-61	D	-++++++++-
Rep-62	R	++++-++++.
Rep-63	R	+++--+-+-+
Rep-64	D	-++++-++++
Rep-65	R	++++-+++++
Rep-66	D	-+++++-++-
Rep-67	D	-++--+-++-
Rep-68	D	-++---+++-
Rep-69	R	+++--+++-+
Rep-70	R	+++--+++++
Rep-71	R	++++-+.+++
Rep-72	R	++++-+..-+
Rep-73	D	+++++-++++
Rep-74	D	-++--++++-
Rep-75	D	++.++-+++-
Rep-76	D	-++-+--+++
Rep-77	D	-..+--+++.
Rep-78	R	+++--+-+-+
Rep-79	R	++++-+++++
Rep-80	D	-++--++++-
Rep-81	D	-+++++++++
Rep-82	D	+++++-+++-
Rep-83	D	-++-++-++-
Rep-84	D	+++++-+++-
Rep-85	R	+++--+++++
Rep-86	R	++++++-++-
Rep-87	R	+++--+-++-
Rep-88	R	+++--+++++
Rep-89	R	++++-+++++
Rep-90	R	++++-++++-
Rep-91	D	-+++++++++
Rep-92	R	++++-+.+-+
Rep-93	D	++++++-++-
Rep-94	D	+..+-+.++-
Rep-95	D	++++-+-++-
Rep-96	D	-++-+-..++
Rep-97	R	+++--+-+++
Rep-98	R	++++-+++++
Rep-99	D	++++--+++-
Rep-100	D	+++++++++-
Rep-101	D	..........
Rep-102	R	+++--++++-
Rep-103	R	+++--++++-
Rep-104	R	++++-+..-+
Rep-105	R	++++-+++--
Rep-106	R	++++-+-+-+
Rep-107	D	-++---+++-
Rep-108	R	+++--++++-
Rep-109	R	+++--+-+++
Rep-110	R	++++-+++-+
Rep-111	D	++++-++++-
Rep-112	R	+++--+-+-+
Rep-113	R	++++-+-++-
Rep-114	R	+++--+-+++
Rep-115	R	+++--+-+-+
Rep-116	R	++++-...--
Rep-117	D	++++-++++-
Rep-118	R	++++-+-+--
Rep-119	D	-++++-+++.
Rep-120	R	++++-+++++
Rep-121	R	+++--+++-+
Rep-122	R	++++-+++++
Rep-123	R	+++--+-+++
Rep-124	R	+++--+++-+
Rep-125	R	++++-++++-
Rep-126	R	++++-+++-.
Rep-127	D	-++---.++-
Rep-128	R	++++-+-+--
Rep-129	R	+++.....-.
Rep-130	D	-++.....+-
Rep-131	R	++++-+++-+
Rep-132	R	++++-+-+-+
Rep-133	D	-++-+-+++-
Rep-134	D	-++++-++++
Rep-135	R	+++--+++-+
Rep-136	D	.++++--+++
Rep-137	D	+++-+-+++-
Rep-138	R	........-+
Rep-139	R	.+++--++--
Rep-140	R	++++-+-+-+
Rep-141	R	++++-+++++
Rep-142	D	-+++-++++-
Rep-143	R	++++-+-+-+
Rep-144	R	++++-+++-+
Rep-145	D	-++++--+++
Rep-146	D	-..++-++++
Rep-147	D	+++---..++
Rep-148	R	++++-+++--
Rep-149	D	+++++++++-
Rep-150	R	++++-++++-
Rep-151	R	++++-+++++
Rep-152	R	++---+++-+
Rep-153	R	++++-+++--
Rep-154	D	-++++-+++-
Rep-155	D	+++++-++++
Rep-156	D	-++++++++-
Rep-157	R	+++--+-+--
Rep-158	R	++++-+++-+
Rep-159	D	-++--++++-
Rep-160	D	-++++++++-
Rep-161	R	+++--+++++
Rep-162	R	++++-++++-
Rep-163	R	++++-+++++
Rep-164	D	+++-+-+++-
Rep-165	R	++++-+-+--
Rep-166	D	+++--+-++-
Rep-167	D	+..++--++-
Rep-168	R	+++--+++++
Rep-169	R	++++-+-+-+
Rep-170	R	++++-+++--
Rep-171	R	+++--+++-+
Rep-172	D	+++++-++++
Rep-173	D	-++++-+++-
Rep-174	D	.++++-+++.
Rep-175	R	+++--+++-+
Rep-176	R	++++-+++--
Rep-177	R	+++--++++-
Rep-178	D	-++-++-++-
Rep-179	R	++++-+++++
Rep-180	R	+++--++++-
Rep-181	R	++++-+++-+
Rep-182	D	-++++-++++
Rep-183	D	-+++-++++-
Rep-184	R	+..--+++-+
Rep-185	D	-++++-+++-
Rep-186	R	+++--+++--
Rep-187	R	+++--+-+++
Rep-188	D	+++++-.++.
Rep-189	D	+..++--+++
Rep-190	D	..........
Rep-191	D	-++--.-++-
Rep-192	D	-++---+++-
Rep-193	D	-++++-+++-
Rep-194	D	-++-+-+++.
Rep-195	R	+++--+++-+
Rep-196	R	+++--+++++
Rep-197	R	++++-+++-+
Rep-198	D	-++-+--++-
Rep-199	R	++++-+++-.
Rep-200	R	++++-+++-+
Rep-201	R	+++--+++-+
Rep-202	D	-++---+++-
Rep-203	D	++++++++++
Rep-204	R	+++--+++-+
Rep-205	D	-++---+++-
Rep-206	D	-++++-+++-
Rep-207	D	+++...-++-
Rep-208	R	+++++++++-
Rep-209	D	-+++--+++-
Rep-210	D	+++---+++-
Rep-211	R	++++-+-+-+
Rep-212	D	-++++-+++-
Rep-213	D	-++++-+++-
Rep-214	R	++++-+++-+
Rep-215	D	+++++--+++
Rep-216	R	+++--+++++
Rep-217	R	+++--+++-+
Rep-218	R	........+.
Rep-219	R	+++--+++--
Rep-220	D	.++-+-+++-
Rep-221	R	+++--+-+++
Rep-222	R	++++-+++-.
Rep-223	R	++++-+-+-+
Rep-224	D	-++-+-+++-
Rep-225	D	+++-++-+++
Rep-226	R	+..--+++--
Rep-227	D	+++++-+++-
Rep-228	R	+++--+++-+
Rep-229	R	+++--+++++
Rep-230	D	++++-++++.
Rep-231	D	-+++--+++-
Rep-232	D	-++++++++-
Rep-233	R	++++-+..++
Rep-234	D	-++++--+++
Rep-235	D	-++----++-
Rep-236	R	+++--+++++
Rep-237	D	+++---+++-
Rep-238	R	+++--++++-
Rep-239	D	.++-+-..++
Rep-240	R	++++-+++++
Rep-241	R	+++--+++-+
Rep-242	R	+++--+-+++
Rep-243	R	+++--+-+-+
Rep-244	R	++++-+++--
Rep-245	D	-++-+-++++
Rep-246	D	-++---++++
Rep-247	D	+++++-+++-
Rep-248	D	-+++++-++-
Rep-249	D	-++++-+++-
Rep-250	D	-++--++++-
Rep-251	R	+++--+..+-
Rep-252	D	-++++++++-
Rep-253	D	-+++-++++-
Rep-254	D	-..-+-..+-
Rep-255	R	++++-+++--
Rep-256	R	++++-+-+--
Rep-257	D	-++-+--++.
Rep-258	D	-++++-++++
Rep-259	D	-++-+--++-
Rep-260	D	-++-+++++-
Rep-261	D	-++---+++-
Rep-262	D	-++--++++-
Rep-263	R	++++-+-+++
Rep-264	D	-++-+-++++
Rep-265	R	++++-+-+-+
Rep-266	R	++++-+-++-
Rep-267	R	++++-+-++-
Rep-268	R	++++-+-+-+
Rep-269	R	++++-+-+-+
Rep-270	D	-++-+-+++-
Rep-271	R	.++--+..++
Rep-272	R	+++--++++-
Rep-273	R	+++--+++--
Rep-274	R	+++--+.+++
Rep-275	D	+++--+++++
Rep-276	R	++++-+++-+
Rep-277	D	-++---+++-
Rep-278	R	++++-+++-+
Rep-279	R	++++-+-++-
Rep-280	D	-++++--++-
Rep-281	D	+..++-+++-
Rep-282	D	+++++--++-
Rep-283	R	++++-+++-+
Rep-284	D	+++++-++++
Rep-285	D	+++----+++
Rep-286	R	+++--+-+--
Rep-287	R	+++--++++.
Rep-288	R	+++--++++.
Rep-289	D	-++-+-+++-
Rep-290	D	+++++-+++-
Rep-291	D	-++-+-+++.
Rep-292	D	-++.....++
Rep-293	R	+..+-+..+-
Rep-294	D	-++---+++-
Rep-295	R	++++-+++-+
Rep-296	R	+++--+++--
Rep-297	D	+++++--++-
Rep-298	D	++++--+++-
Rep-299	D	-++---+++-
Rep-300	R	+++--+..-+
Rep-301	D	-++-+--+++
Rep-302	D	-++-+-+++-
Rep-303	R	+++--+-+-+
Rep-304	R	+++--+++-+
Rep-305	R	+++--+-+++
Rep-306	R	+++--+-+++
Rep-307	R	++++-+++-+
Rep-308	D	-++---+++-
Rep-309	D	+++++-+++-
Rep-310	D	++++---+++
Rep-311	D	+++++-++++
Rep-312	D	...++-++++
Rep-313	D	+++++-+++-
Rep-314	D	-++++-++++
Rep-315	D	-++++++++-
Rep-316	R	+++--+-+--
Rep-317	D	+++++-++++
Rep-318	R	+++--++++.
Rep-319	D	-++--+-++-
Rep-320	R	+++--+.+-.
Rep-321	R	...+-...--
Rep-322	R	+++--+-+-+
Rep-323	R	+++--+.++-
Rep-324	R	+++--+..-+
Rep-325	D	+++++++++-
Rep-326	R	+++--+-++-
Rep-327	R	+++--+++--
Rep-328	D	-++++-.++-
Rep-329	R	+++--++++.
Rep-330	R	+++--+++-+
Rep-331	R	+++--+-++-
Rep-332	D	-++-+--++-
Rep-333	R	+++--+++--
Rep-334	D	-++..--++-
Rep-335	R	+++--+++-.
Rep-336	D	-..++-++++
Rep-337	R	+++--+-+++
Rep-338	R	++++-+++--
Rep-339	R	+++--+-+-+
Rep-340	R	+..+-++.-+
Rep-341	R	+++--+++-+
Rep-342	D	-++-+-+++-
Rep-343	D	-++++-++++
Rep-344	R	++++-+++++
Rep-345	D	-++-+-++++
Rep-346	D	-++++-++++
Rep-347	R	++++-+++--
Rep-348	R	++++-++++-
Rep-349	D	-++++++++-
Rep-350	R	+++--+++--
Rep-351	D	-++++--+++
Rep-352	D	++++--++++
Rep-353	R	+++--+-+-.
Rep-354	R	+++--+.+--
Rep-355	R	+++--+++-+
Rep-356	D	-++--+-++-
Rep-357	D	++++++-+++
Rep-358	R	+++.....--
Rep-359	R	+++--+++--
Rep-360	D	-++---+++-
Rep-361	R	++++-+-+-+
Rep-362	R	++++-+++-+
Rep-363	R	++++-+++-+
Rep-364	R	+++--+++-+
Rep-365	R	+++--+-+--
Rep-366	D	-++++--++-
Rep-367	D	-++----+++
Rep-368	R	+++--+-+-+
Rep-369	R	+++--+++-+
Rep-370	D	+++++--++-
Rep-371	D	-++---++++
Rep-372	R	++++-+-+-+
Rep-373	R	+++--+++-+
Rep-374	R	++++-++++-
Rep-375	D	+++--+-++-
Rep-376	R	++++-+++--
Rep-377	D	-+++---++-
Rep-378	R	++++++++--
Rep-379	D	+..++-++++
Rep-380	D	-..-+--++-
Rep-381	D	+++---++++
Rep-382	R	+++--++++-
Rep-383	D	-++++-+++-
Rep-384	D	+++++-++++
Rep-385	R	+++--+++-+
Rep-386	R	++++-+++--
Rep-387	R	+..--+..--
Rep-388	D	-++-+-+++-
Rep-389	D	+++--++++-
Rep-390	D	++++++-++-
Rep-391	R	++++-++++-
Rep-392	R	++++-+++-+
Rep-393	R	++++-+++++
Rep-394	D	.++++-+++-
Rep-395	R	++++-+++++
Rep-396	D	-..++-++++
Rep-397	R	+++--+-++-
Rep-398	R	+++--+++--
Rep-399	R	-++--+++-+
Rep-400	R	+++--+-+-+
Rep-401	D	-++++--++-
Rep-402	R	+++--+++--
Rep-403	R	+..--+-++-
Rep-404	D	-++++--+++
Rep-405	D	-++++-+++-
Rep-406	D	-++++--+++
Rep-407	R	++++-+++-+
Rep-408	D	-..++-++++
Rep-409	R	++++-+++--
Rep-410	D	-++---.++-
Rep-411	D	.++++--++-
Rep-412	D	-++++-..++
Rep-413	R	++++-+..--
Rep-414	D	+++++--++-
Rep-415	R	+++--+++-+
Rep-416	R	++++-++++-
Rep-417	R	++++-+-+-+
Rep-418	D	-++---+++-
Rep-419	D	-++++-+++-
Rep-420	R	++++++++-+
Rep-421	R	+++--+++-+
Rep-422	R	++++-+-+-+
Rep-423	R	++++-+++++
Rep-424	R	++++-+++-+
Rep-425	D	++++++++++
Rep-426	R	+++--++++.
Rep-427	R	++++-+++--
Rep-428	R	++++-+++-.
Rep-429	R	+++--+++-+
Rep-430	D	++++-+++++
